iter	Passed	Remaining
0	0	97
1	1	95
2	2	90
3	3	80
4	3	75
5	4	71
6	5	68
7	5	65
8	6	64
9	6	62
10	7	60
11	8	59
12	8	58
13	9	57
14	9	56
15	10	54
16	11	53
17	11	52
18	12	52
19	12	51
20	13	50
21	14	49
22	14	49
23	15	48
24	15	47
25	16	46
26	16	45
27	17	45
28	18	44
29	18	43
30	19	43
31	19	42
32	20	41
33	21	41
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	25	34
43	26	33
44	27	33
45	27	32
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	19
68	40	18
69	41	17
70	42	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	50	10
83	50	9
84	51	9
85	52	8
86	52	7
87	53	7
88	53	6
89	54	6
90	55	5
91	55	4
92	56	4
93	57	3
94	57	3
95	58	2
96	58	1
97	59	1
98	60	0
99	60	0
